Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,Type
0.0410484,0.221865,0.08,0.059465,0.285714,0.599003,0.286408,0.0390052,0.419872,0.50135,0.158244,0.253589,0.377621,0.00249455,0.019207,0.449744,0
0.135158,0.212219,0.0971429,0.0188143,0.31677,0.566601,0.244252,0.117368,0.241732,0.642591,0.155581,0.421532,0.355782,0.00213336,0.020522,0.449744,0
0.030259,0.215434,0.0742857,0.0252408,0.21118,0.723958,0.241615,0.198588,0.958906,0.0610305,0.213343,0.102365,0.455135,0.00668392,0.0177725,0.448041,0
0.00756474,0.22508,0.114286,0.0490452,0.229813,0.670209,0.253367,0.106868,0.760652,0.230855,0.187522,0.0204821,0.423169,0.163396,0.183463,0.449744,0
0.263225,0.22508,0.0571429,0.034687,0.217391,0.831101,0.260956,0.251819,0.672424,0.0849535,0.127417,0.338641,0.518553,0.0113091,0.0717274,0.471891,0
0.189538,0.215434,0.142857,0.0237975,0.341615,0.538769,0.21664,0.173851,0.115737,0.565202,0.161764,0.512235,0.337431,0.0021361,0,0.449744,0
0.171856,0.21865,0.148571,0.0188143,0.347825,0.494595,0.146379,0.242884,0,0.189461,0.165885,0.467513,0.294326,0.00168241,0,0.449744,1
0.173696,0.212219,0.148571,0.0252408,0.347825,0.493874,0.147943,0.244917,0,0.203508,0.166915,0.463629,0.294626,0.00168241,0,0.449744,1
0.00252158,0.21865,0.114286,0.0266059,0.229813,0.672079,0.255917,0.117368,0.790614,0.209627,0.195529,0.0152665,0.424696,0.163396,0.183463,0.449744,0
0.037486,0.22508,0.114286,0.0188143,0.298137,0.585722,0.283631,0.052007,0.399176,0.527092,0.165385,0.279873,0.370351,0.00249455,0.019207,0.90971,0
0.0433829,0.21865,0.114286,0.0252408,0.298137,0.583297,0.280513,0.0577185,0.386772,0.537404,0.164871,0.292001,0.368733,0.00249455,0.019207,0.90971,0
0.00504316,0.221865,0.0628571,0.0237975,0.204969,0.736309,0.249869,0.228017,0.870701,0.005307,0.208862,0.102365,0.463893,0.0534911,0.0250648,0.471891,0
0,0.228296,0.148571,0,0.236025,0.658207,0.261557,0.0983079,0.747973,0.244122,0.19307,0.00610659,0.417259,0.163396,0.355927,0.241908,0
0.030259,0.21865,0.131429,0.0428927,0.273292,0.613049,0.283452,0.0114864,0.550763,0.405986,0.175694,0.143017,0.388752,0.0106557,0.00366607,0.241908,0
0.251413,0.234727,0.0457143,0.0452982,0.217391,0.849022,0.277795,0.23621,0.602199,0.108794,0.0994479,0.405526,0.524947,0.0248933,0.00840805,0.471891,0
0.00504316,0.22508,0.148571,0.0336517,0.236025,0.658071,0.262804,0.100813,0.755018,0.238815,0.195768,0.00915989,0.417305,0.163396,0.183463,0.241908,0
0.174791,0.21865,0.142857,0.034687,0.360248,0.48676,0.160973,0.256209,0.0141342,0.285557,0.174128,0.440533,0.296281,0.0022425,0,0.449744,1
0.154826,0.212219,0.131429,0.0237975,0.335403,0.483428,0.159873,0.200381,0,0.100868,0.15583,0.44692,0.280856,0.00168241,0,0.470187,1
0.0268048,0.221865,0.114286,0.0237975,0.298137,0.574883,0.283788,0.0591474,0.39334,0.538661,0.172039,0.295224,0.365209,0.00232239,0.019207,0.90971,0
0.104941,0.228296,0.102857,0.0188143,0.31677,0.54734,0.24991,0.124675,0.250319,0.660722,0.171037,0.434406,0.346728,0.00884686,0.020522,0.449744,1
0.0178303,0.215434,0.114286,0.0303343,0.279503,0.591037,0.297756,0.0222896,0.47686,0.46967,0.175835,0.217728,0.376017,0.00332423,0.00366607,0.241908,0
0.265868,0.209003,0.125714,0.0672661,0.366459,0.497754,0.183571,0.230968,0.0329967,0.411421,0.175158,0.452918,0.308775,0.0016827,0,0.449744,0
0.0176511,0.221865,0.102857,0.0693331,0.223602,0.708685,0.25607,0.190751,0.926223,0.0610305,0.227416,0.0561342,0.448496,0.00668392,0.0105599,0.471891,0
0.0378237,0.215434,0.114286,0.0237975,0.279503,0.595838,0.29492,0.00861481,0.509077,0.443135,0.179841,0.190213,0.379327,0.00332423,0.00366607,0.241908,0
0.139874,0.212219,0.131429,0.0775015,0.335403,0.478537,0.161541,0.198214,0,0.115206,0.159952,0.43598,0.279307,0.00701446,0,0.470187,1
0.0303639,0.215434,0.114286,0.0188143,0.291925,0.566886,0.281137,0.0684533,0.375795,0.554582,0.175594,0.315614,0.360762,0.00232239,0.019207,0.90971,0
0.0666194,0.21865,0.102857,0.0793005,0.217391,0.744086,0.261416,0.247908,0.791226,0.0610305,0.18448,0.10795,0.47027,0.0607721,0.0250648,0.471891,0
0.00252158,0.221865,0.12,0.0677888,0.223602,0.675736,0.264313,0.143041,0.869846,0.148596,0.218413,0.0030533,0.429696,0.0253349,0.00163379,0.241908,0
0.226002,0.215434,0.142857,0.0420602,0.378881,0.496826,0.201822,0.202163,0.0751244,0.478411,0.18237,0.438709,0.311868,0.0016827,0,0.449744,0
0.0615596,0.212219,0.114286,0.0336517,0.279503,0.592114,0.297617,0.0028716,0.530551,0.429867,0.186912,0.182994,0.378631,0.00332423,0.00366607,0.241908,0
